Token,TokenAddress,Address,Amount,Tx
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00d79A8e4d5CD132Ed1254bcA17c7d1b3e26ae9e,100,0x422b83ae81572ae9375216998b31ea11f2aca131b5a341546a5ae18c55a75375
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00E298E4a5c171C8Da30743A6158366EAD6D15D5,100,0xf9e2efd40f73a0be0b7675d9bc7a4e15b2e93cc8f3157bd9817eb1bffc9ace66
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00e6929553746852977355E991E52311e3C49D00,100,0x18bbac4b22ff42be059d0c6797e5b4d80b3d451d0b2291432aa04c01e9e1f838
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00E965Bb92ABB821C37ca38642DB76691B843325,100,0x2d9089569a9a3599ccf324d6414f64e3dee801496708870da8a3f795f824073e
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00eaa7C0E323DbC9dB2F8FdE31C2baff0562D026,100,0xcd9da6f054aabecc98f27d8c340fecb21c527bdd5a92f922920342bb53230af2
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00eACF4FE74395895D00f6aC21Ba20fe46DcBF51,100,0x7cd773f2344ea3ded665f601cd023877c68c2683a3f19792854ddf1d867e5e2e
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00Eb1996cc9bE307A09f37fab4dB2EB79e93ebCa,100,0xf26f009ddcd868f45f1dc64b2c5b10f01553c01131973a95a4bb0a6761832ee7
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00eD357a8f272b87315002bC5447926453bEdCf5,100,0xa0f4a1c904c10007fe52384de8a94ddc413317c64892b4fcb220dce51e7bce33
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00F155ab4c4900a4ccBc1633dc8aBd5aB9962552,100,0x0abb6d5c1bee0afd1c00d8cf07c4a0ac11850e68b9bdff2aa25317e78474f229
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00f29587A6890CcbcaD2dbde737E0d719ebB9701,100,0xc25b3d09b9c5fc0fa7dd6b29a0b7d2331d2783f42d7406e5272330cb1ee19b49
